time	V(rpm)	I(L1)
1.021893292944150e+01	6.999374e+01	-1.219872e-01
1.022225650087007e+01	6.653445e+01	-1.159638e-01
1.022558007229864e+01	6.317688e+01	-1.101176e-01
1.022890364372721e+01	5.992105e+01	-1.044485e-01
1.023222721515578e+01	5.676695e+01	-9.895654e-02
1.023555078658435e+01	5.371458e+01	-9.364171e-02
1.023887435801292e+01	5.076394e+01	-8.850403e-02
1.024219792944149e+01	4.791504e+01	-8.354348e-02
1.024541307229863e+01	4.524227e+01	-7.888962e-02
1.024862821515578e+01	4.264557e+01	-7.436821e-02
1.025184335801292e+01	4.012493e+01	-6.997924e-02
1.025505850087006e+01	3.768035e+01	-6.572270e-02
1.025827364372720e+01	3.531183e+01	-6.159861e-02
1.026148878658435e+01	3.301938e+01	-5.760696e-02
1.026470392944149e+01	3.080299e+01	-5.374774e-02
1.026537978658435e+01	3.034452e+01	-5.294946e-02
1.026605564372720e+01	2.988902e+01	-5.215634e-02
1.026673150087006e+01	2.943648e+01	-5.136836e-02
1.026740735801292e+01	2.898689e+01	-5.058554e-02
1.026808321515577e+01	2.854027e+01	-4.980787e-02
1.026875907229863e+01	2.809660e+01	-4.903535e-02
1.026943492944149e+01	2.765590e+01	-4.826799e-02
1.026956292944149e+01	2.757278e+01	-4.812327e-02
1.027237621515578e+01	2.577400e+01	-4.499121e-02
1.027518950087006e+01	2.402050e+01	-4.193799e-02
1.027800278658435e+01	2.231228e+01	-3.896361e-02
1.028081607229863e+01	2.064933e+01	-3.606806e-02
1.028362935801292e+01	1.903166e+01	-3.325135e-02
1.028644264372720e+01	1.745926e+01	-3.051347e-02
1.028925592944149e+01	1.593214e+01	-2.785444e-02
1.029185050087006e+01	1.455907e+01	-2.546363e-02
1.029444507229863e+01	1.321815e+01	-2.312878e-02
1.029703964372720e+01	1.190936e+01	-2.084991e-02
1.029963421515577e+01	1.063271e+01	-1.862699e-02
1.030222878658434e+01	9.388206e+00	-1.646004e-02
1.030482335801292e+01	8.175842e+00	-1.434906e-02
1.030741792944149e+01	6.995618e+00	-1.229404e-02
1.030979392944149e+01	5.939819e+00	-1.045566e-02
1.031216992944148e+01	4.906730e+00	-8.656836e-03
1.031454592944148e+01	3.896351e+00	-6.897551e-03
1.031692192944148e+01	2.908682e+00	-5.177809e-03
1.031929792944148e+01	1.943724e+00	-3.497610e-03
1.032167392944148e+01	1.001476e+00	-1.856955e-03
1.032404992944148e+01	8.193753e-02	-2.558430e-04
1.032456192944148e+01	-1.133752e-01	8.423819e-05
1.032690135801291e+01	-9.943992e-01	1.618289e-03
1.032924078658434e+01	-1.856672e+00	3.119691e-03
1.033158021515576e+01	-2.700195e+00	4.588443e-03
1.033391964372719e+01	-3.524967e+00	6.024547e-03
1.033625907229862e+01	-4.330988e+00	7.428002e-03
1.033859850087005e+01	-5.118259e+00	8.798808e-03
1.034093792944148e+01	-5.886779e+00	1.013697e-02
1.034492221515576e+01	-7.154228e+00	1.234387e-02
1.034890650087004e+01	-8.377884e+00	1.447451e-02
1.035289078658433e+01	-9.557747e+00	1.652891e-02
1.035687507229861e+01	-1.069382e+01	1.850704e-02
1.036085935801290e+01	-1.178609e+01	2.040893e-02
1.036484364372718e+01	-1.283457e+01	2.223456e-02
1.036882792944146e+01	-1.383926e+01	2.398393e-02
1.037508007229861e+01	-1.533415e+01	2.658685e-02
1.038133221515575e+01	-1.675267e+01	2.905679e-02
1.038758435801289e+01	-1.809482e+01	3.139376e-02
1.039383650087003e+01	-1.936060e+01	3.359776e-02
1.040008864372717e+01	-2.055001e+01	3.566878e-02
1.040634078658432e+01	-2.166306e+01	3.760683e-02
1.041259292944146e+01	-2.269973e+01	3.941191e-02
1.042619535801289e+01	-2.471298e+01	4.291740e-02
1.043979778658431e+01	-2.653677e+01	4.609301e-02
1.045340021515574e+01	-2.817111e+01	4.893874e-02
1.046700264372717e+01	-2.961599e+01	5.145459e-02
1.048060507229860e+01	-3.087142e+01	5.364056e-02
1.049420750087003e+01	-3.193740e+01	5.549665e-02
1.050780992944146e+01	-3.281392e+01	5.702285e-02
1.051338664372717e+01	-3.316286e+01	5.763045e-02
1.051896335801288e+01	-3.349566e+01	5.820991e-02
1.052454007229860e+01	-3.381230e+01	5.876126e-02
1.053011678658431e+01	-3.411279e+01	5.928448e-02
1.053569350087003e+01	-3.439713e+01	5.977957e-02
1.054127021515574e+01	-3.466532e+01	6.024654e-02
1.054684692944145e+01	-3.491735e+01	6.068539e-02
1.054697492944145e+01	-3.492302e+01	6.069525e-02
1.056800278658431e+01	-3.571540e+01	6.207496e-02
1.058903064372717e+01	-3.640894e+01	6.328256e-02
1.061005850087003e+01	-3.700363e+01	6.431805e-02
1.063108635801288e+01	-3.749949e+01	6.518143e-02
1.065211421515574e+01	-3.789649e+01	6.587271e-02
1.067314207229860e+01	-3.819466e+01	6.639187e-02
1.069416992944145e+01	-3.839397e+01	6.673893e-02
1.073403150087002e+01	-3.869274e+01	6.725915e-02
1.077389307229859e+01	-3.894089e+01	6.769123e-02
1.081375464372717e+01	-3.913842e+01	6.803516e-02
1.085361621515574e+01	-3.928533e+01	6.829096e-02
1.089347778658431e+01	-3.938161e+01	6.845861e-02
1.093333935801288e+01	-3.942727e+01	6.853812e-02
1.097320092944145e+01	-3.942231e+01	6.852949e-02
1.275849092944144e+01	-3.949581e+01	6.865746e-02
1.500303792944142e+01	-3.949581e+01	6.865746e-02
1.723131392944141e+01	-3.949581e+01	6.865746e-02
1.946138992944139e+01	-3.949581e+01	6.865746e-02
2.000000000000000e+01	-3.949581e+01	6.865746e-02
2.000001939989209e+01	-3.949587e+01	6.904314e-02
2.000003879978417e+01	-3.949584e+01	6.978322e-02
2.000005819967626e+01	-3.949571e+01	7.087768e-02
2.000007759956835e+01	-3.949549e+01	7.232654e-02
2.000009699946043e+01	-3.949517e+01	7.412978e-02
2.000011639935252e+01	-3.949476e+01	7.628742e-02
2.000013579924460e+01	-3.949425e+01	7.879944e-02
2.000015622781603e+01	-3.949354e+01	8.167906e-02
2.000017665638746e+01	-3.949260e+01	8.473564e-02
2.000019708495890e+01	-3.949144e+01	8.796919e-02
2.000021751353032e+01	-3.949006e+01	9.137971e-02
2.000023794210176e+01	-3.948845e+01	9.496720e-02
2.000025837067318e+01	-3.948663e+01	9.873166e-02
2.000027879924462e+01	-3.948458e+01	1.026731e-01
2.000029108495890e+01	-3.948321e+01	1.050752e-01
2.000030337067319e+01	-3.948175e+01	1.075095e-01
2.000031565638747e+01	-3.948018e+01	1.099760e-01
2.000032794210176e+01	-3.947852e+01	1.124746e-01
2.000034022781604e+01	-3.947677e+01	1.150054e-01
2.000035251353033e+01	-3.947491e+01	1.175683e-01
2.000036479924461e+01	-3.947296e+01	1.201634e-01
2.000037179924461e+01	-3.947180e+01	1.216500e-01
2.000039079924462e+01	-3.946849e+01	1.257344e-01
2.000040979924461e+01	-3.946494e+01	1.298578e-01
2.000042879924462e+01	-3.946112e+01	1.340200e-01
2.000044779924461e+01	-3.945706e+01	1.382212e-01
2.000046679924462e+01	-3.945274e+01	1.424613e-01
2.000048579924461e+01	-3.944817e+01	1.467402e-01
2.000050479924462e+01	-3.944334e+01	1.510581e-01
2.000057379924462e+01	-3.942367e+01	1.670140e-01
2.000064279924462e+01	-3.940044e+01	1.830645e-01
2.000071179924462e+01	-3.937365e+01	1.992097e-01
2.000078079924462e+01	-3.934332e+01	2.154495e-01
2.000084979924462e+01	-3.930944e+01	2.317841e-01
2.000091879924462e+01	-3.927200e+01	2.482133e-01
2.000098779924462e+01	-3.923101e+01	2.647372e-01
